#r,"MP2/6-31++G(d,3p)"
2.30,203.26
2.40,-35.94
2.50,-194.34
2.70,-351.81
2.70,-351.81
2.80,-380.17
2.80,-380.17
2.86,-387.01
2.87,-387.55
2.88,-387.94
2.90,-388.30
2.90,-388.30
2.92,-388.11
2.93,-387.82
2.94,-387.42
2.95,-386.90
3.00,-382.73
3.10,-368.08
3.10,-368.08
3.20,-347.54
3.20,-347.54
3.30,-323.40
3.50,-270.36
4.00,-149.85
5.00,-38.34
6.00,-13.25
8.00,-3.30
10.00,-1.09
